ATRON Electronic Systems
Digital Instrumentation Unit (DI-100)
 
Operator Name: c
Date: 8/18/2008
Time: 11:54 PM
 
V1,I1,V2,
17.2,1,30.9,
21.4,15,31.6,
23.8,30,29.7,
26.2,40,30.5,
27.6,48,30.4,
28.6,54,30,
