ATRON Electronic Systems	
Digital Instrumentation Unit (DI-100)	
 	
Operator Name: vi	
Date: 8/18/2008	
Time: 11:29 PM	
	
V1    Volt	I1   MiliAmp
0.2	1
10	18
19.9	35
31.1	55
40.2	70
51.2	89
60	104
69.6	120
79.9	137
90.6	156
98.8	168
108.8	186
