ATRON Electronic Systems
Digital Instrumentation Unit (DI-100)
 
Operator Name: l
Date: 8/19/2008
Time: 12:10 AM
 
V1,I1,PF1,
110.5,19,0.3,
110.5,59,0.03,
110.5,108,0.03,
110.4,150,-0.03,
110.4,175,0.03,
110.4,196,0.03,
